t_stamp, tss, j_cost 
1.901000, 0.000000, 0.000000 
3.801000, 0.393000, 0.048951 
5.701000, 0.366000, 0.049577 
7.601000, 0.426000, 0.049143 
9.501000, 0.292000, 0.048742 
13.301000, 0.319000, 0.048506 
15.201000, 0.276000, 0.049781 
19.001000, 0.272000, 0.048864 
20.901000, 0.304000, 0.048805 
22.801000, 0.295000, 0.049099 
24.701000, 0.358000, 0.049341 
26.601000, 0.397000, 0.049327 
28.501000, 0.441000, 0.049443 
30.401000, 0.473000, 0.049611 
32.301000, 0.392000, 0.049520 
34.201000, 0.352000, 0.049746 
36.101000, 0.292000, 0.047703 
38.001000, 0.379000, 0.048667 
39.901000, 0.325000, 0.050180 
41.801000, 0.437000, 0.049876 
43.701000, 0.276000, 0.049775 
45.601000, 0.423000, 0.049641 
47.501000, 0.387000, 0.049462 
51.301000, 0.297000, 0.051842 
55.101000, 0.452000, 0.049225 
57.001000, 0.325000, 0.048778 
58.901000, 0.446000, 0.049286 
60.801000, 0.441000, 0.049204 
62.701000, 0.336000, 0.049127 
64.601000, 0.419000, 0.049175 
66.501000, 0.370000, 0.049104 
68.401000, 0.319000, 0.049289 
70.301000, 0.425000, 0.049415 
72.201000, 0.417000, 0.049009 
74.101000, 0.292000, 0.049562 
76.001000, 0.472000, 0.049039 
77.901000, 0.467000, 0.049073 
79.801000, 0.275000, 0.050062 
81.701000, 0.276000, 0.048882 
83.601000, 0.406000, 0.049099 
85.501000, 0.396000, 0.048835 
87.401000, 0.442000, 0.048681 
89.301000, 0.390000, 0.049898 
91.201000, 0.418000, 0.048971 
95.001000, 0.428000, 0.049677 
96.901000, 0.280000, 0.050294 
98.801000, 0.391000, 0.048513 
100.701000, 0.363000, 0.049610 
102.601000, 0.432000, 0.049016 
104.501000, 0.272000, 0.048600 
108.301000, 0.313000, 0.050164 
110.201000, 0.312000, 0.050853 
114.001000, 0.311000, 0.047658 
115.901000, 0.300000, 0.045896 
117.801000, 0.281000, 0.049635 
119.701000, 0.357000, 0.049210 
121.601000, 0.416000, 0.048811 
123.501000, 0.436000, 0.049073 
125.401000, 0.496000, 0.049414 
127.301000, 0.429000, 0.049232 
129.201000, 0.380000, 0.048963 
131.101000, 0.304000, 0.047734 
133.001000, 0.418000, 0.050047 
134.901000, 0.338000, 0.049166 
136.801000, 0.413000, 0.049809 
138.701000, 0.291000, 0.047780 
140.601000, 0.433000, 0.049287 
142.501000, 0.388000, 0.049100 
146.301000, 0.330000, 0.049225 
150.101000, 0.461000, 0.049665 
152.001000, 0.287000, 0.046987 
153.901000, 0.442000, 0.048921 
155.801000, 0.443000, 0.049210 
157.701000, 0.374000, 0.048979 
159.601000, 0.416000, 0.049008 
161.501000, 0.405000, 0.048646 
163.401000, 0.297000, 0.049664 
165.301000, 0.390000, 0.049575 
167.201000, 0.379000, 0.049035 
169.101000, 0.302000, 0.049323 
171.001000, 0.473000, 0.049429 
172.901000, 0.413000, 0.049089 
174.801000, 0.281000, 0.049027 
176.701000, 0.306000, 0.049879 
178.601000, 0.410000, 0.049259 
180.501000, 0.406000, 0.048854 
182.401000, 0.456000, 0.049730 
184.301000, 0.319000, 0.049014 
186.201000, 0.394000, 0.048888 
190.001000, 0.434000, 0.049130 
191.901000, 0.285000, 0.050321 
193.801000, 0.378000, 0.049969 
195.701000, 0.368000, 0.048742 
197.601000, 0.417000, 0.048916 
199.501000, 0.302000, 0.049544 
203.301000, 0.294000, 0.048327 
205.201000, 0.284000, 0.047943 
209.001000, 0.291000, 0.049977 
210.901000, 0.329000, 0.049490 
212.801000, 0.312000, 0.048983 
214.701000, 0.349000, 0.050178 
216.601000, 0.420000, 0.049657 
218.501000, 0.460000, 0.049390 
220.401000, 0.460000, 0.049285 
222.301000, 0.427000, 0.048920 
224.201000, 0.357000, 0.048877 
226.101000, 0.286000, 0.049512 
228.001000, 0.389000, 0.049353 
229.901000, 0.304000, 0.048447 
231.801000, 0.414000, 0.049570 
233.701000, 0.306000, 0.051165 
235.601000, 0.429000, 0.048935 
237.501000, 0.395000, 0.049183 
241.301000, 0.299000, 0.050644 
245.101000, 0.444000, 0.049321 
247.001000, 0.278000, 0.048952 
248.901000, 0.442000, 0.049386 
250.801000, 0.445000, 0.049198 
252.701000, 0.356000, 0.049256 
254.601000, 0.406000, 0.049072 
256.501000, 0.352000, 0.049556 
258.401000, 0.317000, 0.051680 
260.301000, 0.405000, 0.049747 
262.201000, 0.411000, 0.049311 
264.101000, 0.282000, 0.050743 
266.001000, 0.461000, 0.049555 
267.901000, 0.459000, 0.049572 
269.801000, 0.326000, 0.049967 
271.701000, 0.294000, 0.047700 
273.601000, 0.395000, 0.048665 
275.501000, 0.418000, 0.049516 
277.401000, 0.438000, 0.049328 
279.301000, 0.370000, 0.048324 
281.201000, 0.413000, 0.048960 
285.001000, 0.423000, 0.048797 
286.901000, 0.325000, 0.049273 
288.801000, 0.352000, 0.049634 
290.701000, 0.357000, 0.049205 
292.601000, 0.451000, 0.049280 
294.501000, 0.296000, 0.047631 
298.301000, 0.282000, 0.048959 
300.201000, 0.313000, 0.048538 
304.001000, 0.283000, 0.047464 
305.901000, 0.326000, 0.049331 
307.801000, 0.297000, 0.047117 
309.701000, 0.352000, 0.049608 
311.601000, 0.409000, 0.048890 
313.501000, 0.437000, 0.049511 
315.401000, 0.466000, 0.049484 
317.301000, 0.468000, 0.049304 
319.201000, 0.353000, 0.049327 
321.101000, 0.298000, 0.048247 
323.001000, 0.409000, 0.049634 
324.901000, 0.261000, 0.048070 
326.801000, 0.431000, 0.049702 
328.701000, 0.292000, 0.049181 
330.601000, 0.490000, 0.049274 
332.501000, 0.415000, 0.049194 
336.301000, 0.314000, 0.049368 
340.101000, 0.460000, 0.049130 
342.001000, 0.284000, 0.048595 
343.901000, 0.451000, 0.049311 
345.801000, 0.451000, 0.049264 
347.701000, 0.399000, 0.049135 
349.601000, 0.405000, 0.049586 
351.501000, 0.370000, 0.049456 
353.401000, 0.286000, 0.048650 
355.301000, 0.410000, 0.048591 
357.201000, 0.421000, 0.049668 
359.101000, 0.277000, 0.048194 
361.001000, 0.456000, 0.049635 
362.901000, 0.443000, 0.049289 
364.801000, 0.298000, 0.048306 
366.701000, 0.277000, 0.049706 
368.601000, 0.429000, 0.049840 
370.501000, 0.395000, 0.049445 
372.401000, 0.451000, 0.049195 
374.301000, 0.350000, 0.049139 
376.201000, 0.401000, 0.048968 
380.001000, 0.433000, 0.049687 
381.901000, 0.281000, 0.047837 
383.801000, 0.411000, 0.048316 
385.701000, 0.367000, 0.048800 
387.601000, 0.426000, 0.049430 
389.501000, 0.308000, 0.048562 
393.301000, 0.281000, 0.047395 
395.201000, 0.297000, 0.049038 
399.001000, 0.299000, 0.047208 
400.901000, 0.290000, 0.049903 
402.801000, 0.289000, 0.049674 
404.701000, 0.377000, 0.049482 
406.601000, 0.379000, 0.048684 
408.501000, 0.442000, 0.050055 
410.401000, 0.444000, 0.049564 
412.301000, 0.403000, 0.049129 
414.201000, 0.365000, 0.049316 
416.101000, 0.311000, 0.049264 
418.001000, 0.418000, 0.048938 
419.901000, 0.284000, 0.050981 
421.801000, 0.401000, 0.048886 
423.701000, 0.282000, 0.049024 
425.601000, 0.433000, 0.049300 
427.501000, 0.383000, 0.049368 
431.301000, 0.306000, 0.049107 
435.101000, 0.458000, 0.048948 
437.001000, 0.268000, 0.048065 
438.901000, 0.443000, 0.049029 
440.801000, 0.511000, 0.049688 
442.701000, 0.356000, 0.049666 
444.601000, 0.385000, 0.048910 
446.501000, 0.385000, 0.049080 
448.401000, 0.306000, 0.049995 
450.301000, 0.440000, 0.049977 
452.201000, 0.391000, 0.049119 
454.101000, 0.293000, 0.047826 
456.001000, 0.482000, 0.049358 
457.901000, 0.423000, 0.049170 
459.801000, 0.279000, 0.048403 
461.701000, 0.317000, 0.050415 
463.601000, 0.411000, 0.049191 
465.501000, 0.421000, 0.049404 
467.401000, 0.416000, 0.049420 
469.301000, 0.384000, 0.048727 
471.201000, 0.425000, 0.049733 
475.001000, 0.415000, 0.048983 
476.901000, 0.313000, 0.048795 
478.801000, 0.395000, 0.048914 
480.701000, 0.392000, 0.048943 
482.601000, 0.434000, 0.049285 
484.501000, 0.292000, 0.047957 
488.301000, 0.280000, 0.049702 
490.201000, 0.336000, 0.048717 
494.001000, 0.288000, 0.050466 
495.901000, 0.283000, 0.047777 
497.801000, 0.302000, 0.050804 
499.701000, 0.355000, 0.050341 
501.601000, 0.399000, 0.049572 
503.501000, 0.433000, 0.048587 
505.401000, 0.444000, 0.049225 
507.301000, 0.439000, 0.049139 
509.201000, 0.367000, 0.049319 
